Variable,Coefficient,P-value
C(NOC)[T.SUI],24.66526661,1.02E-29
C(NOC)[T.SUR],5.521750401,0.064125853
C(NOC)[T.SVK],4.185507464,0.074693383
C(NOC)[T.SWE],45.03319521,1.23E-94
C(NOC)[T.SYR],-0.687490136,0.789830418
C(NOC)[T.TAN],0.766019995,0.83465224
C(NOC)[T.TCH],32.16086104,8.91E-47
C(NOC)[T.TGA],1.528157898,0.675204948
C(NOC)[T.THA],3.281922856,0.148367332
C(NOC)[T.TJK],-0.54580924,0.831712615
C(NOC)[T.TKM],-4.58839996,0.20803677
C(NOC)[T.TOG],-0.306738799,0.932676509
C(NOC)[T.TPE],7.891648713,0.000510497
C(NOC)[T.TTO],8.484467054,0.000230091
C(NOC)[T.TUN],5.44567895,0.019114453
C(NOC)[T.TUR],12.64946602,1.08E-08
C(NOC)[T.UAE],-0.193977723,0.948062774
C(NOC)[T.UAR],21.4235409,5.06E-09
C(NOC)[T.UGA],4.061838237,0.088668134
C(NOC)[T.UKR],27.06068868,1.04E-30
C(NOC)[T.URS],232.6173049,0
C(NOC)[T.URU],22.86813241,3.49E-22
C(NOC)[T.USA],191.1235061,0
C(NOC)[T.UZB],4.310455689,0.066427347
C(NOC)[T.VEN],6.556683428,0.004136966
C(NOC)[T.VIE],0.140265461,0.958739295
C(NOC)[T.WIF],24.42281605,2.70E-11
C(NOC)[T.YUG],39.75115296,1.86E-69
C(NOC)[T.ZAM],-0.980938101,0.718306038
C(NOC)[T.ZIM],6.090039301,0.024885427
C(Year)[T.1900],-1.64879E+11,0.953224376
C(Year)[T.1904],-1.64879E+11,0.953224376
C(Year)[T.1906],-1.64879E+11,0.953224376
C(Year)[T.1908],-1.64879E+11,0.953224376
C(Year)[T.1912],-1.64879E+11,0.953224376
C(Year)[T.1920],-1.64879E+11,0.953224376
C(Year)[T.1924],-1.64879E+11,0.953224376
C(Year)[T.1928],-1.64879E+11,0.953224376
C(Year)[T.1932],-1.64879E+11,0.953224376
C(Year)[T.1936],-1.64879E+11,0.953224376
C(Year)[T.1948],-1.64879E+11,0.953224376
C(Year)[T.1952],-1.64879E+11,0.953224376
C(Year)[T.1956],-1.64879E+11,0.953224376
C(Year)[T.1960],-1.64879E+11,0.953224376
C(Year)[T.1964],-1.64879E+11,0.953224376
C(Year)[T.1968],-1.64879E+11,0.953224376
C(Year)[T.1972],-1.64879E+11,0.953224376
C(Year)[T.1976],-1.64879E+11,0.953224376
C(Year)[T.1980],-1.64879E+11,0.953224376
C(Year)[T.1984],-1.64879E+11,0.953224376
C(Year)[T.1988],-1.64879E+11,0.953224376
C(Year)[T.1992],-1.64879E+11,0.953224376
C(Year)[T.1996],-1.64879E+11,0.953224376
C(Year)[T.2000],-1.64879E+11,0.953224376
C(Year)[T.2004],-1.64879E+11,0.953224376
C(Year)[T.2008],-1.64879E+11,0.953224376
C(Year)[T.2012],-1.64879E+11,0.953224376
C(Year)[T.2016],-1.64879E+11,0.953224376
C(Year)[T.2020],-1.64879E+11,0.953224376
C(Year)[T.2024],-1.64879E+11,0.953224376
Host,88.39566466,0
NewEvent,-1.64879E+11,0.953224376
Host:NewEvent,13.36048148,3.78E-05
