NOC,Sport,Medal_Increase_With_Coach
GBR,Athletics,11.355311226892665
GBR,Fencing,11.792370772389246
GBR,Golf,11.573840999640955
GER,Athletics,10.918251681396082
GER,Diving,11.355311226892665
GER,Fencing,11.573840999640955
GER,Gymnastics,5.892066908185399
GER,Swimming,10.04413259040292
GER,Tennis,11.573840999640955
GER,Tug-Of-War,11.792370772389246
GER,Weightlifting,11.573840999640955
GER,Wrestling,11.355311226892665
GRE,Athletics,9.60707304490634
GRE,Tug-Of-War,10.918251681396082
GRE,Weightlifting,11.792370772389246
HUN,Athletics,10.918251681396082
HUN,Swimming,11.136781454144375
ITA,Cycling,11.792370772389246
NFL,Athletics,11.792370772389246
NOR,Gymnastics,11.136781454144375
NOR,Wrestling,11.573840999640957
RSA,Athletics,11.355311226892665
RSA,Tug-Of-War,10.918251681396082
SUI,Gymnastics,10.699721908647792
SUI,Wrestling,11.792370772389246
USA,Boxing,6.766185999178562
USA,Diving,11.573840999640954
USA,Fencing,7.640305090171724
USA,Football,6.984715771926851
USA,Lacrosse,9.38854327215805
USA,Roque,11.136781454144375
USA,Rowing,3.925298953450783
USA,Swimming,2.395590544212748
USA,Tug-Of-War,7.858834862920014
USA,Water Polo,7.4217753174234335
USA,Weightlifting,11.136781454144375
USA,Wrestling,3.2697096352059116
AUS,Athletics,10.481192135899501
AUS,Swimming,11.355311226892665
AUT,Athletics,5.017947817192236
AUT,Cycling,8.077364635668305
AUT,Diving,11.792370772389246
AUT,Fencing,10.699721908647792
AUT,Shooting,8.732953953913178
AUT,Swimming,10.04413259040292
AUT,Tug-Of-War,10.262662363151211
AUT,Weightlifting,11.573840999640957
AUT,Wrestling,10.04413259040292
BEL,Athletics,11.136781454144375
BEL,Cycling,10.699721908647792
BEL,Fencing,9.60707304490634
BEL,Rowing,11.136781454144375
BEL,Shooting,11.792370772389246
BEL,Weightlifting,11.573840999640957
BEL,Wrestling,11.355311226892665
BOH,Athletics,9.170013499409759
BOH,Fencing,11.792370772389246
BOH,Gymnastics,11.355311226892665
BOH,Shooting,10.918251681396082
BOH,Tennis,10.918251681396082
BOH,Wrestling,11.573840999640957
CAN,Athletics,11.136781454144375
CRT,Athletics,9.82560281765463
CRT,Shooting,11.792370772389246
DEN,Athletics,9.170013499409759
DEN,Cycling,11.573840999640957
DEN,Fencing,10.918251681396082
DEN,Football,9.38854327215805
DEN,Gymnastics,8.077364635668305
DEN,Rowing,9.60707304490634
DEN,Swimming,11.355311226892665
DEN,Wrestling,11.136781454144375
EGY,Athletics,11.573840999640957
EGY,Cycling,11.573840999640957
EGY,Wrestling,11.792370772389246
FIN,Athletics,8.514424181164886
FIN,Wrestling,11.573840999640957
FRA,Athletics,6.984715771926853
FRA,Cycling,7.203245544675142
FRA,Fencing,9.170013499409759
FRA,Football,11.355311226892665
FRA,Gymnastics,10.262662363151211
FRA,Rowing,6.766185999178561
FRA,Swimming,11.355311226892665
FRA,Tennis,10.262662363151211
FRA,Weightlifting,11.573840999640957
FRA,Wrestling,11.573840999640957
GBR,Athletics,4.143828726199073
GBR,Cycling,7.640305090171724
GBR,Diving,11.573840999640957
GBR,Fencing,10.481192135899501
GBR,Football,10.262662363151211
GBR,Gymnastics,11.136781454144375
GBR,Rowing,11.792370772389246
GBR,Shooting,7.421775317423432
GBR,Swimming,8.951483726661468
GER,Athletics,1.7400012259678768
GER,Cycling,6.11059668093369
GER,Diving,11.136781454144375
GER,Fencing,6.984715771926853
GER,Gymnastics,4.799418044443945
GER,Swimming,10.04413259040292
GER,Tug-Of-War,10.262662363151211
GER,Weightlifting,11.136781454144375
GER,Wrestling,11.573840999640955
GRE,Cycling,7.203245544675142
GRE,Diving,11.355311226892665
GRE,Fencing,6.32912645368198
GRE,Football,7.203245544675141
GRE,Gymnastics,6.984715771926853
GRE,Swimming,10.04413259040292
GRE,Tennis,6.54765622643027
GRE,Tug-Of-War,10.262662363151211
GRE,Weightlifting,10.04413259040292
GRE,Wrestling,10.04413259040292
HUN,Athletics,4.362358498947365
HUN,Fencing,8.077364635668305
HUN,Gymnastics,7.203245544675142
HUN,Shooting,9.38854327215805
HUN,Swimming,10.262662363151211
HUN,Tennis,11.792370772389246
HUN,Wrestling,11.355311226892665
ITA,Athletics,10.04413259040292
ITA,Cycling,10.481192135899501
ITA,Diving,11.573840999640957
ITA,Fencing,11.136781454144375
ITA,Gymnastics,6.766185999178561
ITA,Rowing,3.7067691807024934
ITA,Shooting,8.732953953913176
ITA,Swimming,11.573840999640955
ITA,Weightlifting,11.573840999640957
NED,Fencing,2.395590544212748
