Variable,Coefficient,P-value
C(NOC)[T.SCG],20.75948920849654,0.3985965895851621
C(NOC)[T.SEN],6.5907923268461825,0.8421448448291617
C(NOC)[T.SGP],4.056183305757662,0.8566724210882021
C(NOC)[T.SLO],2.777032624907473,0.894819669643143
C(NOC)[T.SMR],-1.586258030866969,0.9616296174885812
C(NOC)[T.SRB],26.850743269935673,0.2318030196614
C(NOC)[T.SRI],6.106749614019332,0.8209700904015326
C(NOC)[T.SUD],-0.29876373693172154,0.9927420760315323
C(NOC)[T.SUI],25.083458538201345,0.20245080817778993
C(NOC)[T.SUR],5.52595098792219,0.8377391768619693
C(NOC)[T.SVK],4.191522996896071,0.8435354903349211
C(NOC)[T.SWE],45.091777169517954,0.02216662906367613
C(NOC)[T.SYR],-0.6775538127647209,0.9768346076690217
C(NOC)[T.TAN],0.9181116995061558,0.9779297225103674
C(NOC)[T.TCH],32.13094919248164,0.11244825744946983
C(NOC)[T.TGA],1.5354706665472202,0.9628781467199254
C(NOC)[T.THA],3.277983276779172,0.873186110995493
C(NOC)[T.TJK],-0.5400064048635661,0.9814487113612017
C(NOC)[T.TKM],-4.586258030866724,0.8893762835740948
C(NOC)[T.TOG],-0.29876373693143776,0.9927420760315392
C(NOC)[T.TPE],7.899896111599222,0.7004896040843245
C(NOC)[T.TTO],8.44114473335262,0.6852914463360643
C(NOC)[T.TUN],5.434594528553493,0.7959193466683294
C(NOC)[T.TUR],12.629554903083697,0.527904902677983
C(NOC)[T.UAE],-0.18574632792503776,0.9944974110478575
C(NOC)[T.UAR],21.440942148242442,0.5174987322604022
C(NOC)[T.UGA],4.088604684824884,0.8497136727025915
C(NOC)[T.UKR],27.066522996896147,0.20261790616644954
C(NOC)[T.URS],232.5224310318824,4.835857355907239e-27
C(NOC)[T.URU],22.80004211971765,0.28538961935201906
C(NOC)[T.USA],186.38151356917552,1.3194563552617678e-20
C(NOC)[T.UZB],4.3165229968961105,0.838932442544758
C(NOC)[T.VEN],6.554986327271448,0.7512305843027198
C(NOC)[T.VIE],0.1472767439720153,0.9952079435860028
C(NOC)[T.WIF],24.440942148242335,0.4606699392717921
C(NOC)[T.YUG],39.72006969770294,0.05161088764371098
C(NOC)[T.ZAM],-0.9708300612662903,0.9685200529935158
C(NOC)[T.ZIM],6.144934376566976,0.8024063955600569
C(Year)[T.1900],-12.36967114137727,0.02541032634113401
C(Year)[T.1904],-16.512239027235083,0.031132424511151877
C(Year)[T.1906],-16.45771331584687,0.009196664361370106
C(Year)[T.1908],-3.914860448965248,0.5305766412510701
C(Year)[T.1912],1.8748983500297172,0.7618898570880173
C(Year)[T.1920],24.159707948703335,2.4541797288375627e-05
C(Year)[T.1924],-2.4021105579471564,0.6262894910115269
C(Year)[T.1928],-8.216319384346377,0.07732458140997864
C(Year)[T.1932],-10.888338390288212,0.03177422236585975
C(Year)[T.1936],-2.367736929141394,0.6180304245435877
C(Year)[T.1948],-1.1111633525104763,0.8019515028918328
C(Year)[T.1952],-9.937638364255662,0.016660271285999426
C(Year)[T.1956],-10.173519391698425,0.020613514422714176
C(Year)[T.1960],-9.26614806453345,0.028662205136338135
C(Year)[T.1964],-6.520147138910481,0.12460354823631505
C(Year)[T.1968],-5.664606536935599,0.17118242150351695
C(Year)[T.1972],-2.413027813784531,0.5462294203506828
C(Year)[T.1976],0.9481976595062358,0.8255064976533016
C(Year)[T.1980],11.25668238420278,0.016003441746579413
C(Year)[T.1984],10.649677137570388,0.008253787497714478
C(Year)[T.1988],4.584001756862699,0.2519360881880522
C(Year)[T.1992],6.71368443471073,0.05641825743962758
C(Year)[T.1996],9.639323417161584,0.002883376474754969
C(Year)[T.2000],11.247252291889048,0.0004928385988336331
C(Year)[T.2004],11.359338916586118,0.0006371180001483595
C(Year)[T.2008],11.473557820640378,0.00021244149382258946
C(Year)[T.2012],10.876030346773693,0.0004915373694377039
C(Year)[T.2016],11.361741906681539,0.0002716820070102215
C(Year)[T.2020],15.761052114575524,3.3729230796600924e-07
C(Year)[T.2024],16.147871880193836,2.695475275423443e-07
Host,89.05747297598391,1.0315491071615577e-59
NewEvent,-50.01257259205009,1.728815909221845e-08
Host:NewEvent,6.516830003594361,0.824007015146061
